127.0.0.1 - - [23/Aug/2022:12:05:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:05:48 +0900] "GET /Shoppingmall/index.jsp HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:05:48 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:05:48 +0900] "GET /Shoppingmall/css/style.css?abc HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:05:48 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:05:48 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:05:48 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:05:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:05:50 +0900] "GET /Shoppingmall/join.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:05:50 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:05:50 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:05:50 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [23/Aug/2022:12:06:40 +0900] "POST /Shoppingmall/join_p.jsp HTTP/1.1" 200 135
